Samples,Al_at%,DepTemp,Deptemp Reported(0/1),AnnealTemp,AnnealTemp Repoted(0/1),Thickness_nm,CarrierConc_cm-3,Bandgap_eV,Temp_(K),Mobility_cm2v-1s-1,Crystallite_size,Journal,DOI
S1,2.23,27,1,NAN,0,200,NAN,NAN,300,NAN,16.31,Applied Surface Science,10.1016/j.apsusc.2015.04.233
S2,2.23,27,1,300,1,200,NAN,NAN,300,NAN,17.33,Applied Surface Science,10.1016/j.apsusc.2015.04.233
S3,2.23,27,1,400,1,200,NAN,NAN,300,NAN,18.08,Applied Surface Science,10.1016/j.apsusc.2015.04.233
S4,2.23,27,1,500,1,200,NAN,NAN,300,NAN,18.91,Applied Surface Science,10.1016/j.apsusc.2015.04.233
S5,7.41,27,1,NAN,0,200,NAN,3.6,300,NAN,NAN,Applied Surface Science,10.1016/j.apsusc.2015.04.233
S6,7.41,27,1,300,1,200,NAN,3.6,300,NAN,NAN,Applied Surface Science,10.1016/j.apsusc.2015.04.233
S7,7.41,27,1,400,1,200,NAN,3.6,300,NAN,16.97,Applied Surface Science,10.1016/j.apsusc.2015.04.233
S8,7.41,27,1,500,1,200,NAN,3.6,300,NAN,17.7,Applied Surface Science,10.1016/j.apsusc.2015.04.233
S9,9,27,1,NAN,0,200,NAN,3.56,300,NAN,NAN,Applied Surface Science,10.1016/j.apsusc.2015.04.233
S10,9,27,1,300,1,200,NAN,3.56,300,NAN,NAN,Applied Surface Science,10.1016/j.apsusc.2015.04.233
S11,9,27,1,400,1,200,NAN,3.56,300,NAN,NAN,Applied Surface Science,10.1016/j.apsusc.2015.04.233
S12,9,27,1,500,1,200,NAN,3.56,300,NAN,NAN,Applied Surface Science,10.1016/j.apsusc.2015.04.233
S13,12.3,27,1,NAN,0,200,NAN,3.54,300,NAN,17.32,Applied Surface Science,10.1016/j.apsusc.2015.04.233
S14,12.3,27,1,300,1,200,NAN,3.54,300,NAN,16.63,Applied Surface Science,10.1016/j.apsusc.2015.04.233
S15,12.3,27,1,400,1,200,NAN,3.54,300,NAN,20.79,Applied Surface Science,10.1016/j.apsusc.2015.04.233
S16,12.3,27,1,500,1,200,NAN,3.54,300,NAN,16.97,Applied Surface Science,10.1016/j.apsusc.2015.04.233
S17,15.62,27,1,NAN,0,200,NAN,3.2,300,NAN,12.98,Applied Surface Science,10.1016/j.apsusc.2015.04.233
S18,15.62,27,1,300,1,200,NAN,3.2,300,NAN,14.33,Applied Surface Science,10.1016/j.apsusc.2015.04.233
S19,15.62,27,1,400,1,200,NAN,3.54,300,NAN,15.4,Applied Surface Science,10.1016/j.apsusc.2015.04.233
